Launch Date,Launch Site,Payload,Orbit,Customer,Launch Outcome
[,,,,,"Seventh Iridium NEXT launch, with 10 communication satellites.[351] The booster landed safely on the drone ship in the worst weather conditions for any landing yet attempted.[352][351] Mr. Steven boat with an upgraded 4x size net was used to attempt fairing recovery but failed due to harsh weather.[352][351]"
[,"CCAFS,SLC-40",Merah Putih (formerly Telkom 4)[355][356],"5,800 kg (12,800 lb)[357]",GTO,Success[358](drone ship)
[,,,,,Indonesian comsat intended to replace the aging Telkom 1 at 108.0° east.[359] First reflight of a Block 5-version booster.[360]
[,"CCAFS,SLC-40",Telstar 18V / Apstar-5C[341],"7,060 kg (15,560 lb)[361]",GTO[361],Success[361](drone ship)
[,,,,,"Condosat for 138.0° east over Asia and Pacific.[362] Delivered to a GTO orbit with apogee close to 18,000 km (11,000 mi).[361]"
[,"VAFB,SLC-4E",SAOCOM 1A[365][366],"3,000 kg (6,600 lb)[363]",SSO,Success[363](ground pad)
[,,,,,Argentinian Earth-observation satellite was originally intended to be launched in 2012.[365] First landing on the West Coast ground pad.[363]
[,"KSC,LC-39A",Es'hail 2[368],"5,300 kg (11,700 lb)[369]",GTO,Success[370](drone ship)
[,,,,,"Qatari comsat positioned at 26.0° east.[368] This launch used redesigned COPVs. This was to meet NASA safety requirements for commercial crew missions, in response to the September 2016 pad explosion.[371]"
,"VAFB,SLC-4E",SSO-A (SmallSat Express),"~4,000 kg (8,800 lb)[372]",SSO,Success[373](drone ship)
[,,,,,"Rideshare mission[374] where two SHERPA dispensers deployed 64 small satellites,[375][376] including Eu:CROPIS[377] for the German DLR, HIBER-2 for the Dutch Hiber Global,[378] ITASAT-1 for the Brazilian Instituto Tecnológico de Aeronáutica,[379] two high-resolution SkySat imaging satellites for Planet Labs,[380] and two high school CubeSats part of NASA's ELaNa 24.[381] This was the first time a booster was used for a third flight."
,"CCAFS,SLC-40",SpaceX CRS-16(Dragon C112.2♺ ),"2,500 kg (5,500 lb)[382]",LEO (ISS),Failure[383](ground pad)
[,,,,,"First CRS mission with the Falcon 9 Block 5. This carried the Global Ecosystem Dynamics Investigation lidar (GEDI) as an external payload.[384] The mission was delayed by one day due to moldy rodent food for one of the experiments on the Space Station. A previously flown Dragon spacecraft was used for the mission. The booster, in use for the first time, experienced a grid fin hydraulic pump stall on reentry, which caused it to spin out of control and touchdown at sea, heavily damaging the interstage section; this was the first failed landing targeted for a ground pad.[383][385]"
[,"CCAFS,SLC-40",GPS III-01 (Vespucci),"4,400 kg (9,700 lb)[388]",MEO,No attempt[386]
[,,,,,"Initially planned for a Delta IV launch,[389] this was SpaceX's first launch of an EELV-class payload.[390] There was no attempt to recover the first-stage booster for reuse[391][387] due to the customer's requirements, including a high inclination orbit of 55.0°.[392] Nicknamed Vespucci, the USAF marked the satellite operational on 1 January 2020 under the label SVN 74.[393]"
[,"VAFB,SLC-4E",Iridium NEXT-8(10 satellites)[152],"9,600 kg (21,200 lb)",Polar LEO,Success(drone ship)
,,,,,"Final launch of the Iridium NEXT contract, launching 10 satellites."
[,"CCAFS,SLC-40","Nusantara Satu (PSN-6)[400]
Beresheet Moon lander[401]
S5[402]","4,850 kg (10,690 lb)[403]",GTO,Success(drone ship)
[,,,,,"Nusantara Satu is a private Indonesian comsat planned to be located at 146.0° east,[400] with a launch mass of 4,100 kg (9,000 lb),[403] and featuring electric propulsion for orbit-raising and station-keeping.[404][405] S5, a 60-kg smallsat by the Air Force Research Laboratory (AFRL), was piggybacked on Nusantara Satu, and was deployed near its GEO position to perform a classified space situational awareness mission. This launch opportunity was brokered by Spaceflight Industries as ""GTO-1"".[402]
The Beresheet Moon lander (initially called Sparrow) was one of the candidates for the Google Lunar X-Prize, whose developers SpaceIL had secured a launch contract with Spaceflight Industries in October 2015.[406] Its launch mass was 585 kg (1,290 lb) including fuel.[407] After separating into a supersynchronous transfer orbit[408] with an apogee of 69,400 km (43,100 mi),[409][407] Beresheet raised its orbit by its own power over two months and flew to the Moon.[408][410] After successfully getting into lunar orbit, Beresheet attempted to land on the Moon on 11 April 2019 but failed.[411]"
[,"KSC,LC-39A",Crew Dragon Demo-1[414](Dragon C201),"12,055 kg (26,577 lb)[415][h]",LEO (ISS),Success(drone ship)
[,,,,,First flight of the SpaceX Crew Dragon. This was the first demonstration flight for the NASA Commercial Crew Program which awarded SpaceX a contract in September 2014 with flights hoped as early as 2015.[416] The Dragon performed an autonomous docking to the ISS 27 hours after launch with the hatch being opened roughly 2 hours later.[417] The vehicle spent nearly a week docked to the ISS to test critical functions. It undocked roughly a week later on 8 March 2019 and splashed down six hours later at 13:45.[418] The Dragon used on this flight was scheduled to fly on the inflight abort test in mid-2019 but was destroyed during testing.[419] The booster B1051.1 replaced B1050[420] and flew again on 12 June 2019.
[,"KSC,LC-39A",Arabsat-6A[422],"6,465 kg (14,253 lb)[423]",GTO,Success[i](drone ship)
,,,,,Success(ground pad)
,,,,,Success(ground pad)
[,,,,,"Second flight of Falcon Heavy, the first commercial flight, and the first one using Block 5 boosters. SpaceX successfully landed the side boosters at Landing Zone 1 and LZ 2 and reused the side boosters later for the STP-2 mission. The central core landed on drone ship Of Course I Still Love You, located 967 km (601 mi) downrange, the furthest sea landing so far attempted.[425] Despite the successful landing, due to rough seas the central core was unable to be secured to the deck for recovery and later tipped overboard in transit.[426][427] SpaceX recovered the fairing from this launch and later reused it in the November 2019 Starlink launch.[428][429] Arabsat-6A, a 6,465 kg (14,253 lb) Saudi satellite, is the most advanced commercial communications satellite so far built by Lockheed Martin.[430] The Falcon Heavy delivered the Arabsat-6A into a supersynchronous transfer orbit with 90,000 km (56,000 mi) apogee with an inclination of 23.0° to the equator.[431]"
,"CCAFS,SLC-40",SpaceX CRS-17[141](Dragon C113.2 ♺),"2,495 kg (5,501 lb)[432]",LEO (ISS),Success(drone ship)
[,,,,,"A Commercial Resupply Service mission to the International Space Station carrying nearly 2.5 tons of cargo including the Orbiting Carbon Observatory-3 as an external payload.[432] Originally planned to land at Landing Zone 1, the landing was moved to the drone ship after a Dragon 2 had an anomaly during testing at LZ-1.[433]"
,"CCAFS,SLC-40",Starlink v0.9 (60 satellites),"13,620 kg (30,030 lb)[5]",LEO,Success(drone ship)
[,,,,,"Following the launch of the two Tintin test satellites, this was the first full-scale test launch of the Starlink constellation, launching ""production design"" satellites.[435][436][437] Each Starlink satellite has a mass of 227 kg (500 lb),[438] and the combined launch mass was 13,620 kg (30,030 lb) the heaviest payload launched by SpaceX at that time.[439] The fairings were recovered[440] and reused for Starlink L5 in March 2020.[441] These are the first commercial satellites to use krypton as fuel for their ion thrusters, which is cheaper than the usual xenon fuel.[442]"
,"VAFB,SLC-4E",RADARSAT Constellation(3 satellites),"4,200 kg (9,300 lb)[443]",SSO,Success(ground pad)
[,,,,,"A trio of satellites built for Canada's RADARSAT program were launched that plan to replace the aging Radarsat-1 and Radarsat-2. The new satellites contain Automated Identification System (AIS) for locating ships and provide the world's most advanced, comprehensive method of maintaining Arctic sovereignty, conducting coastal surveillance, and ensuring maritime security.[444][443] The mission was originally scheduled to lift off in February but due to the landing failure of booster B1050, this flight was switched to B1051 (used on Crew Dragon Demo-1) and delayed to allow refurbishment and transport to the West coast.[420] The booster landed safely through fog.[445] A payload cost of roughly US$1 billion made this SpaceX's second most expensive payload launched[446][447] and most valuable commercial payload so far put into orbit.[448]"
[,"KSC,LC-39A",Space Test Program Flight 2 (STP-2),"3,700 kg (8,200 lb)",LEO / MEO,Failure(drone ship)
,,,,,Success(ground pad)
,,,,,Success(ground pad)
[,,,,,"USAF Space Test Program Flight 2 (STP-2)[74] carried 24 small satellites,[450] including: FormoSat-7 A/B/C/D/E/F integrated using EELV Secondary Payload Adapter,[451] DSX, Prox-1[452] GPIM,[453] DSAC,[454] ISAT, SET,[455] COSMIC-2, Oculus-ASR, OBT, NPSat,[456] and several CubeSats including E-TBEx,[457] LightSail 2,[458] TEPCE, PSAT, and three ELaNa 15 CubeSats. Total payload mass was 3,700 kg (8,200 lb).[459] The mission lasted six hours during which the second stage ignited four times and went into different orbits to deploy satellites including a ""propulsive passivation maneuver"".[456][460]
Third flight of Falcon Heavy. The side boosters from the Arabsat-6A mission just 2.5 months before were reused on this flight and successfully returned to LZ-1 and LZ-2.[420] The center core, in use for the first time, underwent the most energetic reentry attempted by SpaceX, and attempted a landing over 1,200 km (750 mi) downrange, 30% further than any previous landing.[461] This core suffered a thrust vector control failure in the center engine caused by a breach in the engine bay due to the extreme heat. The core thus failed its landing attempt on the drone ship Of Course I Still Love You due to lack of control when the outer engines shut down.[462] For the first time one fairing half was successfully landed on the catch-net of the support ship GO Ms. Tree (formerly Mr. Steven).[463]"
[,CCAFSSLC-40,SpaceX CRS-18[141](Dragon C108.3 ♺),"2,268 kg (5,000 lb)[464]",LEO (ISS),Success(ground pad)
[,,,,,"This launch carried nearly 9,000 individual unique payloads including over one ton of science experiments, the most so far launched on a SpaceX Dragon. The third International Docking Adapter (IDA-3), a replacement for the first IDA lost during the CRS-7 launch anomaly, was one of the external payloads on this mission.[466] Along with food and science, the Dragon also carried the ELaNa 27 RFTSat CubeSat[467] and MakerSat-1 which will be used to demonstrate microgravity additive manufacturing. The satellite is expected to be launched by a Cygnus dispenser later in July 2019.
The booster used on this flight was the same used on CRS-17 earlier in the year; originally, it was planned to reuse it again for the CRS-19 mission later this year,[468] but the plan was scrapped. For the first time, the twice flown Dragon spacecraft also made a third flight.[469] Also used for the first time was a gray-band painted where the RP-1 kerosene tank is located, to help with thermal conductivity and thus saving fuel during long coasts.[470]"
[,"CCAFS,SLC-40",AMOS-17[473],"6,500 kg (14,300 lb)[474]",GTO,No attempt[474]
[,,,,,"AMOS-17 is the most advanced high-throughput satellite to provide satellite communication services to Africa.[475] Following the loss of AMOS-6 in September 2016, Spacecom was granted a free launch in compensation for the lost satellite.[476] Due to the free launch, Spacecom was able to expend the booster with no extra cost that comes with expending a booster, and thus could reach final orbit quicker. This booster became the second Block 5 booster to be expended.[474][477] For the second time, Ms. Tree managed to catch a fairing half directly into its net.[478]"
[,"CCAFS,SLC-40",Starlink 1 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,"Second large batch of Starlink satellites and the first operational mission of the constellation, it launched in a roughly 290 km (180 mi) orbit at an inclination of 53.0°. At 15,600 kg (34,400 lb), it is the heaviest payload so far launched by SpaceX, breaking the record set by the Starlink v0.9 flight earlier that year.[5] This flight marked the first time that a Falcon 9 booster made a fourth flight and landing.[480] This was also the first time that a Falcon 9 re-used fairings (from ArabSat-6A in April 2019).[429] It was planned to recover the fairings with both Ms. Tree and Ms. Chief but the plan was abandoned due to rough seas.[5]"
[,"CCAFS,SLC-40",SpaceX CRS-19[483](Dragon C106.3 ♺),"2,617 kg (5,769 lb)",LEO (ISS),Success(drone ship)
[,,,,,"Second re-supply flight to use a Cargo Dragon for the third time.[484] This flight carried Robotic Tool Stowage (RiTS), a docking station that allows equipment that looks for leaks on the Space Station be stored on the outside. Also on board were upgrades for the Cold Atom Laboratory (CAL). Onboard experiments include the testing of the spread of fire in space, mating barley in microgravity and experiments to test muscle and bone growth in microgravity.[485] Secondary payloads include the Hyperspectral Imager Suite (HISUI), an experiment to image high resolution across all colours of the light spectrum, allowing for imaging of soil, rocks, vegetation, snow, ice and man-made objects. Additionally, there were three CubeSats from NASA's ELaNa 28 mission,[381] including the AztechSat-1 satellite built by students in Mexico.[485]"
[,"CCAFS,SLC-40",JCSat-18 / Kacific 1[487],"6,956 kg (15,335 lb)[486]",GTO,Success(drone ship)
[,,,,,"Singaporean-Japanese CondoSat that will cover the Asia-Pacific region.[488] Due to the heavy weight of the payload, it was injected into a lower energy sub-synchronous orbit of 20,000 km (12,000 mi); the satellite itself will transfer to full GTO. This was the third Falcon 9 launch for JSAT and the previous two were in 2016. SpaceX successfully landed B1056.3 but both fairing halves missed the recovery boats Ms. Tree and Ms. Chief.[489]"
[,"CCAFS,SLC-40",Starlink 2 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,"Third large batch and second operational flight of Starlink constellation. One of the 60 satellites included a test coating to make the satellite less reflective, and thus less likely to interfere with ground-based astronomical observations.[493]"
[,"KSC,LC-39A",Crew Dragon in-flight abort test[495](Dragon C205.1),"12,050 kg (26,570 lb)",Sub-orbital[496],No attempt
[,,,,,"An atmospheric test of the Dragon 2 abort system after Max Q. The capsule fired its SuperDraco engines, reached an apogee of 40 km (25 mi), deployed parachutes after reentry, and splashed down in the ocean 31 km (19 mi) downrange from the launch site. The test was previously slated to be accomplished with the Crew Dragon Demo-1 capsule;[498] but that test article exploded during a ground test of SuperDraco engines on 20 April 2019.[419] The abort test used the capsule originally intended for the first crewed flight.[499] As expected, the booster was destroyed by aerodynamic forces after the capsule aborted.[500] First flight of a Falcon 9 with only one functional stage — the second stage had a mass simulator in place of its engine."
[,"CCAFS,SLC-40",Starlink 3 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,"Third operational and fourth large batch of Starlink satellites, deployed in a circular 290 km (180 mi) orbit. One of the fairing halves was caught, while the other was fished out of the ocean.[502]"
[,"CCAFS,SLC-40",Starlink 4 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Failure(drone ship)
[,,,,,Fourth operational and fifth large batch of Starlink satellites. Used a new flight profile which deployed into a 212 km × 386 km (132 mi × 240 mi) elliptical orbit instead of launching into a circular orbit and firing the second stage engine twice. The first stage booster failed to land on the drone ship[504] due to incorrect wind data.[505] This was the first time a flight proven booster failed to land.
[,"CCAFS,SLC-40",SpaceX CRS-20(Dragon C112.3 ♺),"1,977 kg (4,359 lb)[507]",LEO (ISS),Success(ground pad)
[,,,,,"Last launch of phase 1 of the CRS contract. Carries Bartolomeo, an ESA platform for hosting external payloads onto ISS.[508] Originally scheduled to launch on 2 March 2020, the launch date was pushed back due to a second stage engine failure. SpaceX decided to swap out the second stage instead of replacing the faulty part.[509] It was SpaceX's 50th successful landing of a first stage booster, the third flight of the Dragon C112 and the last launch of the cargo Dragon spacecraft."
[,"KSC,LC-39A",Starlink 5 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Failure(drone ship)
[,,,,,"Fifth operational launch of Starlink satellites. It was the first time a first stage booster flew for a fifth time and the second time the fairings were reused (Starlink flight in May 2019).[511] Towards the end of the first stage burn, the booster suffered premature shut down of an engine, the first of a Merlin 1D variant and first since the CRS-1 mission in October 2012. However, the payload still reached the targeted orbit.[512] This was the second Starlink launch booster landing failure in a row, later revealed to be caused by residual cleaning fluid trapped inside a sensor.[513]"
[,"KSC,LC-39A",Starlink 6 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,"Sixth operational launch of Starlink satellites. The 84th flight of the Falcon 9 rocket, it surpassed Atlas V to become the most-flown operational US rocket.[515] Used fairings launched on AMOS-17 (August 2019).[516]"
[,"KSC,LC-39A",Crew Dragon Demo-2[414](Crew Dragon C206.1 Endeavour),"12,530 kg (27,620 lb)[519]",LEO (ISS),Success(drone ship)
[,,,,,"First crewed orbital spaceflight from American soil since Space Shuttle STS-135 in July 2011, carrying NASA astronauts Bob Behnken and Doug Hurley to the International Space Station.[414] The SpaceX live stream was peaked at 4.1 million viewers, while NASA estimated roughly 10 million people watched on various online platforms, and approximately 150,000 people gathered on Florida's space coast despite the risks of the COVID-19 pandemic.[520]"
[,"CCAFS,SLC-40",Starlink 7 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,"Seventh operational launch of Starlink satellites, occurred on the 10th anniversary of the first Falcon 9 flight. Included ""VisorSat"" satellite test that uses a sunshade to limit reflectivity.[522] First booster to successfully land five times, and first to land on Just Read The Instructions since it was moved to the East Coast."
[,"CCAFS,SLC-40","Starlink 8 v1.0 (58 satellites),[524][525]SkySats-16, -17, -18","15,410 kg (33,970 lb)[523]",LEO,Success(drone ship)
[,,,,,"Eighth operational launch of Starlink satellites, included the first rideshare in SpaceX's SmallSat Program, of three SkySat satellites.[526][527] One payload fairing half launched on JCSat-18 / Kacific 1 mission in December 2019. The other payload fairing half flew on Starlink 2 v1.0 in January 2020.[528] For the first time, SpaceX did not perform a static fire before launch."
[,"CCAFS,SLC-40",GPS III-03 (Matthew Henson),"4,311 kg (9,504 lb)[530]",MEO,Success(drone ship)
[,,,,,"Payload manufacturing contract awarded January 2012,[531] fully assembled in August 2017,[532][533] and completed thermal vacuum testing in June 2018.[534] Launch contract was awarded initially for US$96.5 million,[535] but later, this was discounted in exchange for allowing to launch configuration enabling booster recovery.[536] The vehicle nicknamed Columbus was transported to Florida in February 2020,[537] but launch was delayed by the customer from April 2020 due to the COVID-19 pandemic.[538] The launch was dedicated to the memory of the recently deceased, late commander of the 21st Space Wing, Colonel Thomas G. Falzarano,[539][540] and after launch, in October 2020, the nickname was changed to that of the Arctic explorer Matthew Henson.[541][390] The second stage featured a gray band to allow more heat to be absorbed during the longer coasting period,[542] while both fairings were recovered out of the water without attempting a catch in the net."
[,"CCAFS,SLC-40",ANASIS-II,"5,000–6,000 kg (11,000–13,000 lb)",GTO,Success(drone ship)
[,,,,,"At 5-6 tonnes, the satellite formerly known as K-Milsat-1 is South Korea's first dedicated military satellite. Contracted by South Korea's Defense Acquisition Program Administration in 2014.[545] 57th successful recovery of a Falcon 9 first stage. For the first time both fairing halves were also successfully caught by fairing catching ships.[546] This launch featured a booster reflight within 51 days, a new record turnaround time for a Falcon booster.[547] It was the same booster that launched the Crew Dragon Demo-2 spacecraft on 30 May 2020.[543] The satellite was delivered to a super-synchronous transfer orbit of 211 km × 45,454 km (131 mi × 28,244 mi), while both fairing halves were caught in the catch nets of the supports ships.[548]"
[,"KSC,LC-39A","Starlink 9 v1.0 (57 Satellites),[524]SXRS-1 (BlackSky Global 7 and 8)","14,932 kg (32,919 lb)",LEO,Success(drone ship)
[,,,,,"Ninth operational launch of Starlink satellites. This mission carried 57 Starlink satellites and two BlackSky satellites as rideshare.[550] This first rideshare contracted with Spaceflight Industries was dubbed internally as ""SXRS-1"".[551] After previously testing on a single Starlink, the launch will have all 57 satellites include a ""VisorSat"" to reduce their brightness.[552]"
[,"CCAFS,SLC-40","Starlink 10 v1.0 (58 satellites)SkySat-19, -20, -21","~15,440 kg (34,040 lb)",LEO,Success(drone ship)
[,,,,,"Tenth operational launch of Starlink satellites. Starlink flight including three SkySat rideshare satellites.[526] First time a booster made a 6th flight.[554] The fairings previously flew on Starlink 3 v1.0. One fairing half was caught by Go Ms. Tree, the other was scooped out of the ocean.[526]"
[,"CCAFS,SLC-40",SAOCOM 1B[556]GNOMES 1[556]Tyvak-0172[557],"3,130 kg (6,900 lb)[558]",SSO,Success(ground pad)
[,,,,,"The 100th launch in SpaceX's history, first time a commercial launch on a fourth launch of a booster, it deployed Earth-observing satellites built by Argentina's space agency CONAE and two rideshares. SpaceX was contracted in 2009 for an initial launch as early as 2013.[559] Originally planned for launch from Vandenberg but launched from Cape Canaveral, which made it the first flight from there using the southern corridor to a polar orbit since 1969.[560][561]"
[,"KSC,LC-39A",Starlink 11 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,"Eleventh operational launch of Starlink satellites, bringing the total to 713 launched Starlink satellites.[562]"
[,"KSC,LC-39A",Starlink 12 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,"Twelfth operational launch of Starlink satellites, which for the first time used a fairing half on its third launch.[566] Also, the B1058 holds the title for the shortest time a booster reached 3 flights which is 129 days beating B1046 by 77 days."
[,"KSC,LC-39A",Starlink 13 v1.0 (60 satellites),"15,600 kg (34,400 lb)[5]",LEO,Success(drone ship)
[,,,,,Thirteenth operational launch of Starlink satellites. Second time a booster was flown six times and first time both fairing halves were flown a third time. Both fairing halves landed on their respective ships but one fairing broke the net on Ms Tree.[569]
[,"CCAFS,SLC-40",Starlink 14 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,Fourteenth operational launch of Starlink satellites and the 100th successful launch of a Falcon vehicle.[571]
[,"CCAFS,SLC-40",GPS III-04 (Sacagawea)[541][573],"4,311 kg (9,504 lb)",MEO,Success(drone ship)
[,,,,,"Manufacturing contract awarded in January 2012,[531] underwent thermal vacuum testing in December 2018,[574] while the launch contract was awarded in March 2018.[575] A launch attempt on 3 October 2020 was aborted two seconds before liftoff due to early start in two engines.[576][577] Following the abort, two engines from B1062 were sent for further testing.[578] The abort also caused delays to the Crew-1 launch to allow time for data review.[579][580]"
[,"KSC,LC-39A",Crew-1(Crew Dragon C207.1 Resilience),"~12,500 kg (27,600 lb)",LEO (ISS),Success(drone ship)
[,,,,,"First crew rotation of the commercial crew program, following the return in August of the crewed test flight mission Crew Demo 2. Originally designated ""USCV-1"" by NASA. Carried astronauts Victor Glover, Mike Hopkins, Shannon Walker and Soichi Noguchi, for a 6-month stay aboard the ISS, during which the Boeing Starliner OFT-2 flight is expected to dock also.[583] The first flight of the crew program was initially expected to launch in 2017,[584][585] and finished final certifications in November 2020.[586]"
[,"VAFB,SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg (2,628 lb)",LEO,Success(ground pad)
[,,,,,"Named after the former director of NASA's Earth science program, it is a radar altimeter satellite part of the Ocean Surface Topography constellation located at 1,336 km (830 mi) and 66° inclination, and a follow-up to Jason 3 as a partnership between the United States (NOAA and NASA), Europe (EUMETSAT, ESA, CNES).[588]"
[,"CCAFS,SLC-40",Starlink 15 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
,,,,,First time a booster was launched for a seventh time and first time SpaceX completed four launches in a single month.
[,"KSC,LC-39A",SpaceX CRS-21(Dragon C208.1),"2,972 kg (6,552 lb)",LEO (ISS),Success(drone ship)
[,,,,,"First launch of phase 2 of the CRS contract of six launches awarded in January 2016.[593] It was the first launch of the upgraded version Cargo Dragon 2 spacecraft, with increased payload capacity and autonomous docking to the ISS. Payloads included Will Nanoracks Bishop Airlock[594] and CFIG-1 (Cool Flames Investigation with Gases).[595] It's also the 100th successful Falcon 9 launch."
[,"CCSFS,SLC-40[597]",SXM-7,"7,000 kg (15,000 lb)",GTO,Success(drone ship)
[,,,,,"Launched the largest, high-power broadcasting satellite for SiriusXM's digital audio radio service (DARS). SXM-7 was built by Maxar Technologies; intended to operate in the S-band spectrum, it will replace the SXM-3 satellite. The satellite will deliver the highest power density of any commercial satellite on-orbit,[598] generate more than 20 kW of power, and have a large unfoldable antenna reflector, which enables broadcast to radios without the need for large dish-type antennas on the ground. Due to the heavy weight, the payload was injected into a sub-synchronous orbit of 224 km × 19,411 km (139 mi × 12,061 mi) and the satellite itself will transfer to full GTO.[599] It was the first time a commercial primary payload flew on a booster which had been flown more than 4 times before.[600] First dedicated customer launch where the fairings were previously used.[601]"
[,"KSC,LC-39A",NROL-108,Classified,LEO,Success(ground pad)
[,,,,,"The planned launch was not known by the public until FCC filings appeared in late September followed by confirmation from the NRO on 5 October 2020, likely a relatively light payload that allows the return of the booster to the launch site.[603]"
[,"CCSFS,SLC-40",Türksat 5A[605],"3,500 kg (7,700 lb)",GTO,Success(drone ship)
[,,,,,"A 3,500 kg (7,700 lb) satellite intended to be stationed at 31.0° east.[605] This is the most powerful satellite in Türksat's fleet[606] and will provide Ku-band television broadcast services over Turkey, the Middle East, Europe and Africa. The satellite was injected in to a Super-synchronous transfer orbit of 280 km × 55,000 km (170 mi × 34,180 mi) with 17.6° inclination.[607]"
[,"KSC,LC-39A",Starlink 16 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,The first booster to successfully launch and land eight times. Achieved a record turnaround time between two launches of the same booster of only 38 days and brought the total of launched Starlink satellites to over 1000.[610] SpaceX stated that the landing would occur during higher winds than usual; this test to expand the landing envelope was successfully passed by the booster.[611]
[,"CCSFS,SLC-40",Transporter-1 (143 smallsat rideshare),"~5,000 kg (11,000 lb)",SSO,Success(drone ship)
[,,,,,"First dedicated smallsat rideshare launch, targeting a 525 km (326 mi) altitude orbit.[614] The launch deployed a record 143 satellites, consisting of 120 CubeSats, 11 microsatellites, 10 Starlinks, and 2 transfer stages. In addition, 2 hosted payloads and 1 non-separating dummy satellite[615] were[failed verification] launched.[616] These include SpaceBEE (x 36), Lemur-2  (x 8), ICEYE (x 3), UVSQ-SAT,[617] ELaNa 35 (PTD-1),[381] and multiple Kepler nanosats.[618][619] D-Orbit flew their ION SCV LAURENTIUS, 10 Starlink satellites were placed in a polar orbit[620] and 2 of 15 payloads remained attached to SHERPA-FX1. Exolaunch deployed several small satellites and cubesats via their own deployment mechanisms. First flight of a Falcon 9 with a SHERPA-FX transfer stage called  SHERPA-FX1.[621][622]"
[,"CCSFS,SLC-40",Starlink 18 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,"This marked the fastest turnaround to date, at 27 days, and the first time a Falcon 9 flies twice within a month.[625]"
[,"CCSFS,SLC-40",Starlink 19 v1.0 (60 satellites)[627],"15,600 kg (34,400 lb)",LEO,Failure (drone ship)
[,,,,,"A hole in a heat-shielding engine cover, which likely developed through fatigue, allowed recirculating hot exhaust gases to damage one of the Merlin 1D first-stage engines, causing it to shut down early during ascent. Engine-out capability of the Falcon 9 allowed the mission to continue and successfully deploy the 60 Starlink satellites to orbit.[628] The issue caused the booster to fail its landing attempt and miss the droneship Of Course I Still Love You (OCISLY) after its entry burn, breaking the longest streak of 24 landing successes.[629] During this mission, GO Ms. Tree and GO Ms. Chief were used for the last time to recover the fairings.[630][631] After this mission, both ships were retired because SpaceX no longer plans to catch the fairings.[632]"
[,"KSC,LC-39A",Starlink 17 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,"Launch had previously been postponed multiple times, causing the payload Starlink L17 to launch after the L18 and L19 missions. Featured for the first time, a fairing which was flying on its fourth flight.[635] The second-stage deorbit burn failed, causing an uncontrolled reentry on 26 March 2021 over the west coast of the United States.[636]"
[,"CCSFS,SLC-40",Starlink 20 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,"Twentieth operational launch of Starlink satellites, bringing the total to 1,265 (including prototypes) launched Starlink satellites.[639]"
[,"KSC,LC-39A",Starlink 21 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,"First time a first-stage booster flew and landed for the ninth time. This flight also marked the fastest turnaround time for a fairing half, at 49 days. Both fairing halves previously flew on the Transporter-1 mission.[641]"
[,"CCSFS,SLC-40",Starlink 22 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,"Fairing ""wet recovery"" achieved by contracted recovery vessel Shelia Bordelon for the first time. Both fairing halves were retrieved from the water.[644]"
,"CCSFS,SLC-40",Starlink 23 v1.0 (60 satellites),"15,600 kg (34,400 lb)",LEO,Success(drone ship)
[,,,,,"23rd operational launch of Starlink satellites, bringing the total to 1,385 launched Starlink satellites (including prototype). This launch featured the second fastest booster turnaround time at 27 days and 8 hours (after Starlink 18 with B1060.5, which was 4 hours faster).[645]"
[,"KSC,LC-39A",Crew-2(Crew Dragon C206.2 Endeavour ♺),"~13,000 kg (29,000 lb)[648]",LEO (ISS),Success(drone ship)
